dataset,repeat,strategy,suppression_hours,calibration_alerts_per_100_landmarks,calibration_landmark_sensitivity,threshold,n_evaluation_landmarks,n_evaluation_stays,n_event_stays,landmark_sensitivity,alerts_per_100_landmarks,false_alerts_per_100_landmarks,landmark_ppv,alert_episodes,true_alert_episodes,false_alert_episodes,episodes_per_100_landmarks,false_episodes_per_100_landmarks,event_stay_sensitivity,episode_ppv,n_detected_event_stays_with_lead_time,policy_lead_time_median_hours,policy_lead_time_q1_hours,policy_lead_time_q3_hours
mimic_temporal_test,21,fixed_80_percent_calibration_sensitivity,6,46.151098990292525,0.8018867924528302,0.010653212666511536,122094,7395,255,0.8167791706846673,46.170163972021555,45.47643618851049,0.015025456351670186,13058,225,12833,10.695038249217816,10.510754009206021,0.8823529411764706,0.01723081635778833,225,2.1669445037841797,0.9722222089767456,3.7108333110809326
mimic_temporal_test,22,fixed_5_alerts_per_100_calibration_landmarks,6,5.001977066034006,0.22021660649819494,0.08751602470874786,122547,7425,254,0.26440329218106995,5.193925595893821,4.984210139783103,0.0403770620581304,2249,108,2141,1.8352142443307466,1.7470847919573715,0.4251968503937008,0.04802134281903068,108,1.5212500095367432,0.42645832151174545,3.081249952316284
mimic_temporal_test,22,fixed_80_percent_calibration_sensitivity,6,41.97311190193753,0.8014440433212996,0.012271103449165821,122547,7425,254,0.7860082304526749,41.89331440182134,41.2698801276245,0.014881474122986424,12066,223,11843,9.846018262380964,9.664047263498903,0.8779527559055118,0.018481684070943145,223,1.8041666746139526,0.7083333134651184,3.4684722423553467
mimic_temporal_test,23,fixed_5_alerts_per_100_calibration_landmarks,6,5.002766656901995,0.25102880658436216,0.0905514657497406,122172,7399,255,0.24751491053677932,4.83989784893429,4.636086828405854,0.04211060375443937,2166,106,2060,1.7729103231509675,1.6861473987493043,0.41568627450980394,0.048938134810710986,106,1.510694444179535,0.46270832419395447,3.0279860496520996
mimic_temporal_test,23,fixed_80_percent_calibration_sensitivity,6,37.72092569085051,0.8024691358024691,0.013940711505711079,122172,7399,255,0.7534791252485089,38.3279311135121,37.707494352224735,0.016187588092085592,11187,215,10972,9.156762596994401,8.980781193726877,0.8431372549019608,0.019218736032895326,215,1.983888864517212,0.7415277659893036,3.4423611164093018
mimic_temporal_test,24,fixed_5_alerts_per_100_calibration_landmarks,6,5.002012882447665,0.24696356275303644,0.08950545638799667,123087,7432,253,0.24850299401197604,4.985091845605141,4.782795908584984,0.040580182529335075,2207,104,2103,1.793040694793114,1.7085476126642132,0.41106719367588934,0.04712279111916629,104,1.4549999833106995,0.47708332538604736,3.2159723043441772
mimic_temporal_test,24,fixed_80_percent_calibration_sensitivity,6,55.17981749865808,0.8016194331983806,0.007954651489853859,123087,7432,253,0.8862275449101796,54.51022447537108,53.788783543347385,0.013234965347641405,15176,233,14943,12.329490522963432,12.140193521655414,0.9209486166007905,0.015353189246178177,233,2.141944408416748,0.8500000238418579,3.700000047683716
mimic_temporal_test,25,fixed_5_alerts_per_100_calibration_landmarks,6,5.0,0.2222222222222222,0.08928728103637695,122195,7421,254,0.256701030927835,5.007569867834199,4.803797209378453,0.04069292368033992,2183,104,2079,1.7864888088710666,1.7013789434919595,0.4094488188976378,0.04764086120018323,104,1.5802777409553528,0.46590277552604675,3.227430522441864
mimic_temporal_test,25,fixed_80_percent_calibration_sensitivity,6,43.990228013029316,0.8028673835125448,0.011658101342618465,122195,7421,254,0.7989690721649485,43.26527271983306,42.63104054994067,0.014659151093288946,12407,222,12185,10.153443266909449,9.971766438888661,0.8740157480314961,0.017893124848875636,222,1.9862499833106995,0.7277083396911621,3.4831249713897705
mimic_temporal_test,26,fixed_5_alerts_per_100_calibration_landmarks,6,5.001891074130106,0.22661870503597123,0.08881582319736481,121167,7350,254,0.25746652935118436,5.050880190150783,4.844553384997566,0.04084967320261438,2194,103,2091,1.8107240420246438,1.7257173983015177,0.40551181102362205,0.04694621695533273,103,1.5247222185134888,0.4741666615009308,3.233472228050232
mimic_temporal_test,26,fixed_80_percent_calibration_sensitivity,6,41.48386283408976,0.802158273381295,0.012656833045184612,121167,7350,254,0.776519052523172,40.87581602251438,40.253534378172276,0.015223711839767404,11700,223,11477,9.656094481170616,9.472050970973944,0.8779527559055118,0.01905982905982906,223,1.8041666746139526,0.6649999916553497,3.391527771949768
mimic_temporal_test,27,fixed_5_alerts_per_100_calibration_landmarks,6,5.002112653167354,0.24489795918367346,0.09336153417825699,122128,7407,254,0.24402390438247012,4.559151054631206,4.358541857723044,0.04400143678160919,2062,99,1963,1.6883925062229792,1.6073300144111096,0.38976377952755903,0.048011639185257034,99,1.2919445037841797,0.42347221076488495,3.169722318649292
mimic_temporal_test,27,fixed_80_percent_calibration_sensitivity,6,50.33314915331361,0.8040816326530612,0.009258287958800793,122128,7407,254,0.8386454183266933,50.22107952312328,49.531638936198085,0.013728111650960316,14017,231,13786,11.477302502292677,11.288156688064982,0.9094488188976378,0.01647998858528929,231,2.038888931274414,0.7315277755260468,3.720972180366516
mimic_temporal_test,28,fixed_5_alerts_per_100_calibration_landmarks,6,5.00258698745311,0.21641791044776118,0.09006397426128387,121971,7393,254,0.25688073394495414,4.908543834190095,4.701937345762517,0.04209119759478871,2167,106,2061,1.7766518270736487,1.689745923211255,0.41732283464566927,0.04891555145362252,106,1.4549999833106995,0.46291665732860565,3.090972125530243
mimic_temporal_test,28,fixed_80_percent_calibration_sensitivity,6,44.344198680636396,0.8022388059701493,0.011386875063180923,121971,7393,254,0.8042813455657493,44.085069401743034,43.438194324880506,0.014673336928827807,12573,222,12351,10.30818801190447,10.126177534003984,0.8740157480314961,0.01765688379861608,222,2.0137500166893005,0.7548611164093018,3.6797916889190674
mimic_temporal_test,29,fixed_5_alerts_per_100_calibration_landmarks,6,5.0016061676839065,0.2612244897959184,0.09509877860546112,121765,7366,253,0.2350597609561753,4.381390383115017,4.187574426148729,0.04423617619493908,2007,97,1910,1.648256888268386,1.568595244939022,0.383399209486166,0.04833084205281515,97,1.5177778005599976,0.4675000011920929,2.8763887882232666
mimic_temporal_test,29,fixed_80_percent_calibration_sensitivity,6,36.59492451011886,0.8040816326530612,0.014319445006549358,121765,7366,253,0.7460159362549801,37.70705867860222,37.091939391450744,0.016313107113298777,11008,211,10797,9.040364636800394,8.867080031207655,0.83399209486166,0.019167877906976744,211,2.089444398880005,0.8029166758060455,3.5380555391311646
mimic_temporal_test,30,fixed_5_alerts_per_100_calibration_landmarks,6,5.00128567755207,0.21843003412969283,0.08924616873264313,121783,7386,252,0.2583682008368201,5.0113726874851166,4.808552917894945,0.0404718990660331,2221,112,2109,1.8237356609707431,1.7317688018853206,0.4444444444444444,0.05042773525438991,112,1.3244444131851196,0.4163888841867447,3.072916567325592
mimic_temporal_test,30,fixed_80_percent_calibration_sensitivity,6,45.70905116996657,0.8020477815699659,0.010373303666710854,121783,7386,252,0.8232217573221757,47.275892365929565,46.62966095432039,0.01366936464376281,13325,222,13103,10.941592833154052,10.759301380324018,0.8809523809523809,0.016660412757973735,222,1.8733333349227905,0.6808333396911621,3.564999997615814
mimic_temporal_test,31,fixed_5_alerts_per_100_calibration_landmarks,6,5.0024683231857825,0.2440944881889764,0.08971284329891205,122510,7421,254,0.2492462311557789,4.962043914782467,4.759611460288956,0.04079618358282612,2212,109,2103,1.8055668924985715,1.716594563709085,0.42913385826771655,0.049276672694394216,109,1.5177778005599976,0.42944443225860596,3.206111192703247
mimic_temporal_test,31,fixed_80_percent_calibration_sensitivity,6,48.52394273490209,0.8031496062992126,0.01006667036563158,122510,7421,254,0.8261306532663316,47.64182515713003,46.9708595216717,0.014083541788027277,13448,228,13220,10.977063096890049,10.790955840339564,0.8976377952755905,0.016954193932183226,228,2.0661110877990723,0.7944444417953491,3.636597156524658
mimic_temporal_test,32,fixed_5_alerts_per_100_calibration_landmarks,6,5.00150045013504,0.25229357798165136,0.08693665266036987,122904,7449,255,0.2550921435499515,5.2675258738527635,5.053537720497299,0.040624034599938214,2313,108,2205,1.8819566490919741,1.794083186877563,0.4235294117647059,0.04669260700389105,108,1.6268055438995361,0.5570833161473274,3.1515278816223145
mimic_temporal_test,32,fixed_80_percent_calibration_sensitivity,6,57.22716815044513,0.8027522935779816,0.007453486323356628,122904,7449,255,0.8962172647914646,56.387912517086505,55.6361062292521,0.01333275615774209,15660,243,15417,12.741652021089632,12.543936731107205,0.9529411764705882,0.015517241379310345,243,2.089444398880005,0.7315277755260468,3.605555534362793
