dataset,repeat,n_calibration_identifiers,n_evaluation_identifiers,calibration_prevalence,evaluation_prevalence,intercept_shift,brier_null_calibration_prevalence,brier_model_uncalibrated,brier_skill_uncalibrated,brier_model_intercept_recalibrated,brier_skill_intercept_recalibrated
mimic_temporal_test,11,1530,6123,0.008443237228785549,0.00810050842747143,-1.151460691543335,0.008035007653719145,0.009475219422254023,-0.1792421153286956,0.008012830619386116,0.002760051426057397
mimic_temporal_test,12,1530,6123,0.007539006162318081,0.008326047701144729,-1.3248338486745042,0.008257344065206828,0.009647320418556688,-0.16833213468803732,0.008187544390472173,0.008453041823552221
mimic_temporal_test,13,1530,6123,0.008592631167816691,0.00806246981689599,-1.1071032810252666,0.00799774746840564,0.009487293405912978,-0.18624568272399822,0.008009190755578625,-0.0014308137657748077
mimic_temporal_test,14,1530,6123,0.008346594784190186,0.008124221974710083,-1.1807252915647846,0.008058268441682118,0.009423920290708805,-0.16947212157424896,0.007989662426522106,0.0085137415880987
mimic_temporal_test,15,1530,6123,0.007396305105731322,0.008363065038787601,-1.2259305994769305,0.00829405880671277,0.009765006344286604,-0.17734954282978177,0.008235174407667236,0.007099587839656363
mimic_temporal_test,16,1530,6123,0.008275004906129391,0.008142510280327989,-1.223387720137775,0.00807622736148861,0.00943960640936557,-0.16881385167265317,0.008005076332426272,0.00880993388096285
mimic_temporal_test,17,1530,6123,0.008527813039091234,0.008078774187211472,-1.1632908558655444,0.008013709230734016,0.009515820364168813,-0.18744267981098317,0.008028471539778023,-0.0018421318541719245
mimic_temporal_test,18,1530,6123,0.007550031321090634,0.008322182696387194,-1.2549312578884861,0.008253520189301516,0.009636326792392005,-0.16754143339746452,0.008155266780254388,0.011904424632593336
mimic_temporal_test,19,1530,6123,0.008244611789145677,0.008149925872533522,-1.2061024702012617,0.008083513546228533,0.009553316135028564,-0.18182719437462747,0.00807268254149251,0.0013398882396969958
mimic_temporal_test,20,1530,6123,0.008371852474383424,0.008117548664294266,-1.1592881700321853,0.00805171873840491,0.009456954180377508,-0.17452614623383922,0.008003265276884369,0.006017778699773602
mimic_temporal_test,21,1530,6123,0.006882893412551541,0.008493455861876914,-1.2997652273377451,0.008423910980802437,0.009871308506332898,-0.17182013542509988,0.008342575468783541,0.00965531475869752
mimic_temporal_test,22,1530,6123,0.009127454856992224,0.00793165071360376,-1.0211312969925044,0.007870169578110498,0.009387139711849459,-0.19274935802630577,0.007927957206019647,-0.007342615344639425
mimic_temporal_test,23,1530,6123,0.007909383849233472,0.00823429263661068,-1.1898150478042948,0.008166594627105454,0.009648468090653355,-0.18145549414556084,0.008139259972887287,0.0033471300421158423
mimic_temporal_test,24,1530,6123,0.008286366076221149,0.008140583489726778,-1.1535867226705179,0.008074335642736094,0.00959379672284449,-0.1881840373424839,0.008092694444282547,-0.0022737228620128835
mimic_temporal_test,25,1530,6123,0.009087947882736156,0.00793813167478211,-1.0810945176062323,0.007876439817608008,0.009331146398181268,-0.18469087738361445,0.007890236364627625,-0.0017516222226157119
mimic_temporal_test,26,1530,6123,0.008761976802824005,0.008013733112150999,-1.086700992888981,0.007950073062378847,0.009428616943645562,-0.18597865323570995,0.007961400381699294,-0.0014248069459952273
mimic_temporal_test,27,1530,6123,0.007963077323105925,0.008220883007991616,-1.2340845087236163,0.00815336655433169,0.009649664325964665,-0.1835190116453218,0.008150782001325397,0.00031699212700309065
mimic_temporal_test,28,1530,6123,0.008666407967921355,0.00804289544235925,-1.1306728233127996,0.00797859604313206,0.009493365992433543,-0.18985419754461574,0.00801926799842418,-0.005097633101393884
mimic_temporal_test,29,1530,6123,0.00787022165114038,0.008245390711616639,-1.264249902349189,0.008177544995453366,0.009541866508911206,-0.16683754283423569,0.008093085834055902,0.010328180577963364
mimic_temporal_test,30,1530,6123,0.009417588068912316,0.007850028329077129,-1.0142732525745035,0.007790862627847768,0.009244050450611016,-0.1865246368956568,0.007824776564153623,-0.004353039955374616
