dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,41,uncalibrated,0.0,1.0,0.007938794455648388,0.009652564692093787,-0.18283980353429263
mimic_temporal_test,41,intercept_only,-1.1825716132529425,1.0,0.007938794455648388,0.008144971073387634,0.0019029872828003613
mimic_temporal_test,41,intercept_and_slope,-1.8731059298200239,0.7615087420443234,0.007938794455648388,0.008009228299569026,0.018537111066121326
mimic_temporal_test,42,uncalibrated,0.0,1.0,0.0077769100611740204,0.009577154759402242,-0.16801274638728803
mimic_temporal_test,42,intercept_only,-1.2533898964099173,1.0,0.0077769100611740204,0.00812709962643525,0.008833396420105721
mimic_temporal_test,42,intercept_and_slope,-2.3230789156766822,0.6387571370712906,0.0077769100611740204,0.008037954683975562,0.019705354917660123
mimic_temporal_test,43,uncalibrated,0.0,1.0,0.007385236034746397,0.009696973282981265,-0.1687066868710796
mimic_temporal_test,43,intercept_only,-1.2978608650746033,1.0,0.007385236034746397,0.008211922286987076,0.01027586559289606
mimic_temporal_test,43,intercept_and_slope,-2.3407056523758087,0.6465287483586161,0.007385236034746397,0.008136904491460765,0.019317222798633682
mimic_temporal_test,44,uncalibrated,0.0,1.0,0.008296065850022684,0.00966890506333545,-0.19802660567114772
mimic_temporal_test,44,intercept_only,-1.1214636969527376,1.0,0.008296065850022684,0.008141710387345001,-0.008799403429415653
mimic_temporal_test,44,intercept_and_slope,-1.7900678372068886,0.7701838879217141,0.008296065850022684,0.007957776034618908,0.01399100011879606
mimic_temporal_test,45,uncalibrated,0.0,1.0,0.008091197955907885,0.009606546612404513,-0.18287200270605775
mimic_temporal_test,45,intercept_only,-1.175134758353088,1.0,0.008091197955907885,0.008105267763807582,0.0019832621366753234
mimic_temporal_test,45,intercept_and_slope,-2.0384777510840633,0.7091326722694159,0.008091197955907885,0.007962074799868902,0.019614878872792674
mimic_temporal_test,46,uncalibrated,0.0,1.0,0.009098049482916612,0.009382539285554208,-0.19138593404954984
mimic_temporal_test,46,intercept_only,-1.0704243245036462,1.0,0.009098049482916612,0.00792317571335858,-0.006077332650448408
mimic_temporal_test,46,intercept_and_slope,-1.7528389143190575,0.7636911176291586,0.009098049482916612,0.00774709431330571,0.016281316419503256
mimic_temporal_test,47,uncalibrated,0.0,1.0,0.00846146248312646,0.00949442428328314,-0.18220942529437112
mimic_temporal_test,47,intercept_only,-1.1969655153292118,1.0,0.00846146248312646,0.008029532214629372,0.00019333646661889858
mimic_temporal_test,47,intercept_and_slope,-1.9967523532204723,0.7197501476724351,0.00846146248312646,0.007886866829554175,0.017957484967556447
mimic_temporal_test,48,uncalibrated,0.0,1.0,0.008293450468760243,0.009489118965985708,-0.17559134752326866
mimic_temporal_test,48,intercept_only,-1.1821208441286593,1.0,0.008293450468760243,0.008041456001527433,0.0037572370236684804
mimic_temporal_test,48,intercept_and_slope,-2.2641134072018816,0.637498370915551,0.008293450468760243,0.007914031253547138,0.019543679550412252
mimic_temporal_test,49,uncalibrated,0.0,1.0,0.007189351986787137,0.009698850877654965,-0.1618742064145391
mimic_temporal_test,49,intercept_only,-1.3803092275380815,1.0,0.007189351986787137,0.008264107592030974,0.010000919558736499
mimic_temporal_test,49,intercept_and_slope,-2.266871391491084,0.6842208922656723,0.007189351986787137,0.008198026910779829,0.017917057259635993
mimic_temporal_test,50,uncalibrated,0.0,1.0,0.007881136950904392,0.009585434179878276,-0.17263139550072126
mimic_temporal_test,50,intercept_only,-1.2400268425955439,1.0,0.007881136950904392,0.008120073903618165,0.006633041917181615
mimic_temporal_test,50,intercept_and_slope,-1.9321431590810203,0.7533169339268536,0.007881136950904392,0.008020698076946121,0.018790155734112135
mimic_temporal_test,51,uncalibrated,0.0,1.0,0.007778593843893971,0.009755514115756318,-0.1902677876931793
mimic_temporal_test,51,intercept_only,-1.2095262776372242,1.0,0.007778593843893971,0.00822070767935034,-0.0030064460640748525
mimic_temporal_test,51,intercept_and_slope,-1.7399187309099582,0.81170266990919,0.007778593843893971,0.008085227809805555,0.013523418245134922
mimic_temporal_test,52,uncalibrated,0.0,1.0,0.008324728962312854,0.00938234029961181,-0.16357626579582152
mimic_temporal_test,52,intercept_only,-1.1956842553855467,1.0,0.008324728962312854,0.007969022277250439,0.0117001848898588
mimic_temporal_test,52,intercept_and_slope,-2.634767552684017,0.5330240023460928,0.008324728962312854,0.007914898002762434,0.018412552933071424
mimic_temporal_test,53,uncalibrated,0.0,1.0,0.008351947169078373,0.00949527653716619,-0.17854790821687105
